"filename", "language", "JSON with Comments", "JSON", "TypeScript", "MS SQL", "Markdown", "Prisma", "JavaScript", "comment", "blank", "total"
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\guard\refresh-jwt.guard.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 9, 56
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\guard\roles.guard.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 8, 37
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\interfaces\auth-request.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\interfaces\jwt-payload.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\interfaces\tokens.interface.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\refresh-tokens.repository.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 9, 43
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\refresh-tokens.service.spec.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 13, 49
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\refresh-tokens.service.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 7, 11, 64
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\billing.controller.spec.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 0, 13, 84
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\billing.controller.ts", "TypeScript", 0, 0, 85, 0, 0, 0, 0, 0, 8, 93
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\billing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\billing.repo.ts", "TypeScript", 0, 0, 361, 0, 0, 0, 0, 0, 30, 391
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\billing.service.spec.ts", "TypeScript", 0, 0, 214, 0, 0, 0, 0, 0, 30, 244
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\billing.service.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 21, 21, 154
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\dto\cancel-subscription.dto.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\dto\create-checkout-session.dto.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\interfaces\stripe-webhook-event.interface.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\stripe\stripe-webhook.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\stripe\stripe-webhook.service.spec.ts", "TypeScript", 0, 0, 415, 0, 0, 0, 0, 3, 38, 456
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\stripe\stripe-webhook.service.ts", "TypeScript", 0, 0, 641, 0, 0, 0, 0, 51, 70, 762
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\stripe\stripe.module.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\stripe\stripe.service.spec.ts", "TypeScript", 0, 0, 197, 0, 0, 0, 0, 0, 32, 229
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\stripe\stripe.service.ts", "TypeScript", 0, 0, 214, 0, 0, 0, 0, 27, 24, 265
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\common\constants\variables.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 6, 9, 27
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\common\dto\api-error-response.dto.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 3, 17, 69
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\common\types\uploaded-file.type.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\companies\companies.controller.spec.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\companies\companies.controller.ts", "TypeScript", 0, 0, 167, 0, 0, 0, 0, 3, 10, 180
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\companies\companies.module.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\companies\companies.repository.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 13, 55
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\companies\companies.service.spec.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\companies\companies.service.ts", "TypeScript", 0, 0, 64, 0, 0, 0, 0, 3, 16, 83
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\companies\dto\create-company.dto.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 0, 10, 76
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\companies\dto\update-company.dto.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\companies\entities\company.entity.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 3, 14, 69
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\integrations\currency\currency.controller.spec.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\integrations\currency\currency.controller.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 4, 60
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\integrations\currency\currency.module.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\integrations\currency\currency.service.spec.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\integrations\currency\currency.service.ts", "TypeScript", 0, 0, 84, 0, 0, 0, 0, 13, 18, 115
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\integrations\currency\dto\convert-currency.dto.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\integrations\logistics\dto\estimate-logistics.dto.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\integrations\logistics\logistics.controller.spec.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 10, 49
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\integrations\logistics\logistics.controller.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 0, 4, 70
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\integrations\logistics\logistics.module.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\integrations\logistics\logistics.service.spec.ts", "TypeScript", 0, 0, 161, 0, 0, 0, 0, 9, 27, 197
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\integrations\logistics\logistics.service.ts", "TypeScript", 0, 0, 231, 0, 0, 0, 0, 27, 43, 301
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\integrations\notifications\constants\notification.constants.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
